product_code,family,outer_l_mm,outer_w_mm,outer_h_mm,outer_weight_kg,outer_weight_kg_effective,weight_source,weight_confidence,weight_estimate_basis
AE-2CB,AE,330,270,280,12.9,12.9,measured,measured,
AE-2MC,AE,330,270,280,12.9,12.9,measured,measured,
AE-2SC,AE,330,270,280,12.9,12.9,measured,measured,
AE-BAL,AE,330,270,280,10.8,10.8,measured,measured,
AE-BLA,AE,330,270,280,11.52,11.52,measured,measured,
AE-BRO,AE,330,270,280,11.52,11.52,measured,measured,
AE-BUR,AE,330,270,280,11.52,11.52,measured,measured,
AE-ORA,AE,330,270,280,11.52,11.52,measured,measured,
AE-QUI,AE,330,270,280,11.52,11.52,measured,measured,
AE-SEA,AE,330,270,280,11.52,11.52,measured,measured,
AE-SMI,AE,330,270,280,10.8,10.8,measured,measured,
AE-SUP,AE,330,270,280,10.8,10.8,measured,measured,
AE-TOF,AE,330,270,280,11.52,11.52,measured,measured,
AE-TOT,AE,330,270,280,10.8,10.8,measured,measured,
BB-1CH,BB,230,140,180,0.9,0.9,measured,measured,
BB-1CL,BB,230,140,180,0.9,0.9,measured,measured,
BB-1SS,BB,230,140,180,0.9,0.9,measured,measured,
BB-2CH,BB,230,140,205,1.3,1.3,measured,measured,
BB-2CL,BB,230,140,205,1.3,1.3,measured,measured,
BB-2SS,BB,230,140,205,1.3,1.3,measured,measured,
BB-3BCL,BB,230,140,180,1.1,1.1,measured,measured,
BB-3SS,BB,230,140,180,1.1,1.1,measured,measured,
BB-4BCL,BB,230,140,180,1.1,1.1,measured,measured,
BB-5CH,BB,230,140,180,1.1,1.1,measured,measured,
BB-5CL,BB,230,140,180,1.1,1.1,measured,measured,
BB-5SS,BB,230,140,180,1.1,1.1,measured,measured,
BE-1CH,BE,330,260,230,13.0,13.0,measured,measured,
BE-1CW,BE,330,230,230,13.0,13.0,measured,measured,
BE-3CH,BE,350,245,155,8.5,8.5,measured,measured,
BE-3CW,BE,350,245,155,8.5,8.5,measured,measured,
BF-GRC,BF,335,195,270,2.0,2.0,measured,measured,
BF-GTN,BF,335,195,270,2.0,2.0,measured,measured,
BF-KAB,BF,335,195,270,2.0,2.0,measured,measured,
BF-KPE,BF,335,195,270,2.0,2.0,measured,measured,
BF-KRM,BF,335,195,270,2.0,2.0,measured,measured,
BF-MAM,BF,335,195,270,2.0,2.0,measured,measured,
BI-BOM,BI,205,145,110,2.3,2.3,measured,measured,
BI-CEH,BI,205,145,110,2.3,2.3,measured,measured,
BI-CHO,BI,205,145,110,2.3,2.3,measured,measured,
BI-CMI,BI,205,145,110,2.3,2.3,measured,measured,
BI-COI,BI,175,95,165,2.1,2.1,measured,measured,
BI-CPE,BI,205,140,95,2.4,2.4,measured,measured,
BI-CSU,BI,230,160,160,4.5,4.5,measured,measured,
BI-HON,BI,180,95,165,2.4,2.4,measured,measured,
BI-PES,BI,205,140,95,2.4,2.4,measured,measured,
BI-SRI,BI,215,110,210,4.2,4.2,measured,measured,
BI-SUG,BI,230,160,160,4.5,4.5,measured,measured,
BI-VSU,BI,230,160,160,4.5,4.5,measured,measured,
BW-3SP,BW,330,250,300,14.5,14.5,measured,measured,
BW-3ST,BW,330,250,300,14.5,14.5,measured,measured,
BW-5SP,BW,355,285,280,17.5,17.5,measured,measured,
BW-5ST,BW,355,285,280,17.5,17.5,measured,measured,
BW-7SP,BW,375,255,220,14.5,14.5,measured,measured,
BW-7ST,BW,375,255,220,14.5,14.5,measured,measured,
DW-5GR,DW,235,180,155,4.2,4.2,measured,measured,
DW-5LI,DW,235,180,155,4.2,4.2,measured,measured,
DW-5PE,DW,235,180,155,4.2,4.2,measured,measured,
DW-5RA,DW,235,180,155,4.2,4.2,measured,measured,
FA-CHI,FA,270,210,130,5.0,5.0,measured,measured,
FA-LEM,FA,270,210,130,5.0,5.0,measured,measured,
FA-MAN,FA,270,210,130,5.0,5.0,measured,measured,
FB-PSM,FB,220,145,170,0.9,0.9,measured,measured,
FD-1RG,FD,375,260,175,3.5,3.5,measured,measured,
FD-1SP,FD,375,260,175,3.5,3.5,measured,measured,
FD-2LO,FD,250,160,195,0.9,0.9,measured,measured,
FD-2PM,FD,250,160,195,0.9,0.9,measured,measured,
FD-2SC,FD,250,160,195,0.9,0.9,measured,measured,
FD-3LO,FD,375,260,175,3.5,3.5,measured,measured,
FD-4CC,FD,375,260,290,4.5,4.5,measured,measured,
FD-4FC,FD,375,260,290,4.5,4.5,measured,measured,
FD-5DS,FD,375,260,290,4.5,4.5,measured,measured,
FD-5MB,FD,375,260,290,4.5,4.5,measured,measured,
FD-5MR,FD,375,260,290,4.5,4.5,measured,measured,
FD-5WR,FD,375,260,290,4.5,4.5,measured,measured,
FD-BAR,FD,375,260,290,4.5,4.5,measured,measured,
FD-FGS,FD,375,260,290,4.5,4.5,measured,measured,
FD-PCG,FD,375,260,290,4.5,4.5,measured,measured,
FD-PPM,FD,375,260,290,4.5,4.5,measured,measured,
FD-RGF,FD,375,260,290,4.5,4.5,measured,measured,
FD-SCB,FD,375,260,290,4.5,4.5,measured,measured,
FD-SFC,FD,375,260,290,4.5,4.5,measured,measured,
FD-SPH,FD,375,260,290,4.5,4.5,measured,measured,
FD-SVG,FD,375,260,290,4.5,4.5,measured,measured,
FD-VKO,FD,375,260,290,4.5,4.5,measured,measured,
FJ-5BMB,FJ,375,135,230,1.6,1.6,measured,measured,
FJ-5GHG,FJ,375,135,230,1.6,1.6,measured,measured,
FJ-5GMA,FJ,375,135,230,1.6,1.6,measured,measured,
FJ-5PCG,FJ,375,135,230,1.6,1.6,measured,measured,
FJ-5POG,FJ,375,135,230,1.6,1.6,measured,measured,
FJ-FSB,FJ,320,230,275,3.0,3.0,measured,measured,
FJ-FSH,FJ,320,230,275,3.0,3.0,measured,measured,
FJ-FSP,FJ,320,230,275,3.0,3.0,measured,measured,
FP-2AC,FP,290,140,165,4.0,4.0,measured,measured,
FP-2AM,FP,290,140,165,4.0,4.0,measured,measured,
FP-2ANS,FP,290,140,165,4.0,4.0,measured,measured,
FP-2OC,FP,290,140,165,4.0,4.0,measured,measured,
FP-3AL,FP,215,175,175,4.0,4.0,measured,measured,
FP-3AM,FP,215,175,175,4.0,4.0,measured,measured,
FP-3OA,FP,215,175,175,4.0,4.0,measured,measured,
FP-3PR,FP,215,175,175,4.0,4.0,measured,measured,
FP-3ST,FP,215,175,175,4.0,4.0,measured,measured,
FP-4DIC,FP,290,140,165,4.0,4.0,measured,measured,
FP-OCD,FP,280,160,205,4.8,4.8,measured,measured,
FP-PCD,FP,235,185,170,3.5,3.5,measured,measured,
FT-2IT,FT,320,215,90,4.5,4.5,measured,measured,
FT-2LI,FT,320,215,90,4.5,4.5,measured,measured,
FT-2LM,FT,320,215,90,4.5,4.5,measured,measured,
FT-2MT,FT,320,215,90,4.5,4.5,measured,measured,
FT-5ET,FT,280,145,275,,8.11,estimated_family,medium,family FT median density 0.727 kg/L (n=4) × 11.2 L
FT-5GA,FT,280,145,275,,8.11,estimated_family,medium,family FT median density 0.727 kg/L (n=4) × 11.2 L
FT-5GB,FT,280,145,275,,8.11,estimated_family,medium,family FT median density 0.727 kg/L (n=4) × 11.2 L
FT-5IT,FT,280,145,275,,8.11,estimated_family,medium,family FT median density 0.727 kg/L (n=4) × 11.2 L
FT-5LM,FT,280,145,275,,8.11,estimated_family,medium,family FT median density 0.727 kg/L (n=4) × 11.2 L
FT-5LR,FT,280,145,275,,8.11,estimated_family,medium,family FT median density 0.727 kg/L (n=4) × 11.2 L
FT-5LT,FT,280,145,275,,8.11,estimated_family,medium,family FT median density 0.727 kg/L (n=4) × 11.2 L
FT-5LY,FT,280,145,275,,8.11,estimated_family,medium,family FT median density 0.727 kg/L (n=4) × 11.2 L
FT-5MT,FT,280,145,275,,8.11,estimated_family,medium,family FT median density 0.727 kg/L (n=4) × 11.2 L
FT-5PG,FT,280,145,275,,8.11,estimated_family,medium,family FT median density 0.727 kg/L (n=4) × 11.2 L
FT-6BO,FT,325,220,200,,10.39,estimated_family,medium,family FT median density 0.727 kg/L (n=4) × 14.3 L
FT-6GA,FT,325,220,200,,10.39,estimated_family,medium,family FT median density 0.727 kg/L (n=4) × 14.3 L
FT-6GB,FT,325,220,200,,10.39,estimated_family,medium,family FT median density 0.727 kg/L (n=4) × 14.3 L
FT-6LY,FT,325,220,200,,10.39,estimated_family,medium,family FT median density 0.727 kg/L (n=4) × 14.3 L
