weigh_order,product_code,units_per_day,abc,priority,outer_l_mm,outer_w_mm,outer_h_mm,inner_pack_qty
1,RK-9LY,33.6,A,6,330,220,140,1.0
2,RK-2LY,33.1,A,7,250,130,220,1.0
3,RK-3GI,29.2,A,10,250,185,220,1.0
4,RK-3RL,23.2,A,14,250,185,220,1.0
5,RK-9BO,21.3,A,15,330,220,140,1.0
6,SNK-1BQ,20.1,A,17,490,285,230,1.0
7,RK-2BO,18.7,A,21,250,130,220,1.0
8,RK-MGI,17.9,A,23,330,220,140,1.0
9,RK-5GI,17.3,A,24,245,165,260,1.0
10,RK-2PA,16.2,A,27,250,130,220,1.0
11,RK-2RA,15.6,A,29,250,130,220,1.0
12,RK-MRL,15.0,A,31,330,220,140,1.0
13,RK-9RA,14.8,A,33,330,220,140,1.0
14,RK-9PA,14.4,A,35,330,220,140,1.0
15,RK-5PO,13.9,A,36,245,165,260,1.0
16,SNK-1VI,13.5,A,41,490,285,230,1.0
17,RK-3PA,13.5,A,40,250,185,220,1.0
18,SNK-1CH,12.8,A,44,490,285,230,1.0
19,RK-9WA,12.1,A,46,330,220,140,1.0
20,RK-3MP,11.5,A,48,250,185,220,1.0
21,SNK-1SA,11.1,A,50,490,285,230,1.0
22,RK-2GU,10.8,A,51,250,130,220,1.0
23,RK-9PI,10.8,A,52,330,220,140,1.0
24,RK-3WB,10.3,A,55,250,185,220,1.0
25,RK-5RL,10.2,A,57,245,165,260,1.0
26,RK-MWB,10.1,A,59,330,220,140,1.0
27,FT-5MT,9.9,A,60,280,145,275,1.0
28,RK-2PI,9.7,A,61,250,130,220,1.0
29,RK-5WB,9.6,A,62,245,165,260,1.0
30,KC-KCO,9.6,A,63,300,180,220,1.0
31,RK-MMP,9.4,A,66,330,220,140,1.0
32,RK-9GU,9.3,A,67,330,220,140,1.0
33,RK-MPA,9.2,A,68,330,220,140,1.0
34,RK-4YM,8.7,A,69,250,130,220,1.0
35,FT-5IT,8.4,A,71,280,145,275,1.0
36,KC-LEM,7.9,A,73,300,180,220,1.0
